transaction_id,client_id,amount,source_currency,target_currency,created_at,refunded_at,original_fee,original_final_amount
T0001,C006,394.22,USD,GBP,2024-01-01 08:20:50,,7.02,305.20
T0002,C010,2497.2,USD,CHF,2024-01-01 09:25:32,,48.38,2101.71
T0003,C008,408.66,EUR,PLN,2024-01-01 09:45:40,,39.92,1734.48
T0004,C011,1712.25,USD,CHF,2024-01-01 09:59:23,,33.17,1441.08
T0005,C017,7065.87,USD,CHF,2024-01-01 10:26:55,,106.46,5977.25
T0006,C020,1639.01,EUR,USD,2024-01-01 11:19:13,,31.12,1747.21
T0007,C004,23.84,GBP,CHF,2024-01-01 13:10:51,,0.58,25.35
T0008,C014,2445.97,USD,EUR,2024-01-01 13:19:11,,50.73,2203.72
T0009,C011,624.18,EUR,GBP,2024-01-01 15:39:36,,12.06,524.11
T0010,C010,2284.01,GBP,CHF,2024-01-01 17:22:15,,55.89,2427.97
T0011,C013,714.26,USD,GBP,2024-01-01 17:55:43,,12.73,552.96
T0012,C007,2567.23,USD,EUR,2024-01-02 08:18:31,,53.24,2312.98
T0013,C011,360.89,EUR,GBP,2024-01-02 10:10:48,,6.98,303.02
T0014,C007,2146.93,GBP,CHF,2024-01-02 10:24:00,,52.53,2282.26
T0015,C005,29.37,EUR,GBP,2024-01-02 10:50:19,,0.69,24.54
T0016,C003,22.99,EUR,CHF,2024-01-02 11:45:28,,0.48,20.99
T0017,C007,1175.86,EUR,USD,2024-01-02 13:15:08,,28.71,1247.10
T0018,C016,3801.2,EUR,CHF,2024-01-02 15:06:51,,79.88,3470.44
T0019,C015,4669.8,EUR,USD,2024-01-02 15:54:25,,88.67,4978.06
T0020,C011,2884.63,EUR,USD,2024-01-02 17:30:32,,70.42,3059.40
T0021,C002,28.62,EUR,USD,2024-01-03 08:41:49,,0.54,30.51
T0022,C020,5441.08,USD,CHF,2024-01-03 09:53:57,,81.98,4602.79
T0023,C020,6838.29,EUR,CHF,2024-01-03 10:17:39,,111.77,6275.19
T0024,C002,24.89,EUR,USD,2024-01-03 11:10:26,,0.47,26.54
T0025,C001,25.01,EUR,PLN,2024-01-03 11:46:26,,2.99,105.60
T0026,C008,2092.95,USD,GBP,2024-01-03 11:55:06,,37.30,1620.32
T0027,C003,12.39,GBP,CHF,2024-01-03 14:38:52,,0.30,13.17
T0028,C003,25.79,USD,EUR,2024-01-03 16:34:32,,0.65,23.12
T0029,C014,332.66,USD,EUR,2024-01-03 16:41:21,,6.90,299.71
T0030,C010,1650,USD,EUR,2024-01-04 09:20:42,,34.22,1486.59
T0031,C020,7025.35,GBP,CHF,2024-01-04 09:54:41,,133.70,7506.37
T0032,C019,3984.11,USD,GBP,2024-01-04 11:18:14,,71.00,3084.42
T0033,C003,29.72,GBP,CHF,2024-01-04 13:54:22,,0.73,31.59
T0034,C009,1577.21,EUR,GBP,2024-01-04 16:09:17,,23.71,1331.11
T0035,C007,881.13,GBP,CHF,2024-01-04 16:14:41,,21.56,936.67
T0036,C008,308.36,GBP,CHF,2024-01-04 17:15:37,,7.55,327.79
T0037,C004,25.41,USD,CHF,2024-01-04 18:53:09,,0.49,21.39
T0038,C014,5365.54,EUR,GBP,2024-01-05 08:02:19,,103.70,4505.30
T0039,C011,2577.02,EUR,CHF,2024-01-05 08:18:58,,54.16,2352.78
T0040,C019,3749.92,USD,EUR,2024-01-05 08:22:34,,77.77,3378.53
T0041,C004,14.74,EUR,USD,2024-01-05 08:22:50,,0.44,15.55
T0042,C015,6965.02,EUR,USD,2024-01-05 09:15:49,,132.25,7424.80
T0043,C020,7465.01,GBP,CHF,2024-01-05 10:11:53,,142.07,7976.13
T0044,C017,2108.02,USD,EUR,2024-01-05 16:40:37,,34.00,1908.96
T0045,C002,15.16,EUR,CHF,2024-01-05 17:19:05,,0.25,13.91
T0046,C013,5762.51,EUR,GBP,2024-01-05 18:01:05,,111.38,4838.62
T0047,C002,22.29,EUR,GBP,2024-01-05 18:10:50,,0.34,18.81
T0048,C018,1931.48,EUR,CHF,2024-01-05 18:30:35,,31.69,1772.31
